Event_ID,Event_Timestamp,Region_Name,Category_Tier,Gross_Amount,Unit_Quantity,Unit_Price,Processing_Latency_MS,Status
TX-1789757778698-221,2026-09-18T18:56:18.698Z,"EMEA","Apparel & Footwear",81.87,1,81.87,22,COMPLETED
TX-1789757780698-897,2026-09-18T18:56:20.698Z,"North America","Apparel & Footwear",123.70,2,61.85,45,COMPLETED
TX-1789757782698-459,2026-09-18T18:56:22.698Z,"Asia Pacific","Electronics & Gadgets",687.04,4,171.76,34,COMPLETED
TX-1789757784698-659,2026-09-18T18:56:24.698Z,"Asia Pacific","Electronics & Gadgets",854.84,4,213.71,20,COMPLETED
TX-1789757786698-158,2026-09-18T18:56:26.698Z,"North America","Electronics & Gadgets",40.80,1,40.80,41,COMPLETED
TX-1789757788698-819,2026-09-18T18:56:28.698Z,"EMEA","Apparel & Footwear",728.82,3,242.94,23,COMPLETED
TX-1789757790698-367,2026-09-18T18:56:30.698Z,"Asia Pacific","Apparel & Footwear",523.28,4,130.82,39,COMPLETED
TX-1789757792698-396,2026-09-18T18:56:32.698Z,"Asia Pacific","Home Goods",379.58,2,189.79,29,COMPLETED
TX-1789757794698-431,2026-09-18T18:56:34.698Z,"Latin America","Home Goods",199.12,1,199.12,63,COMPLETED
TX-1789757796698-491,2026-09-18T18:56:36.698Z,"Asia Pacific","Electronics & Gadgets",281.10,2,140.55,64,COMPLETED
TX-1789757798698-243,2026-09-18T18:56:38.698Z,"Asia Pacific","Beauty & Health",50.93,1,50.93,38,COMPLETED
TX-1789757800698-563,2026-09-18T18:56:40.698Z,"Latin America","Home Goods",405.63,3,135.21,38,COMPLETED
TX-1789757802698-864,2026-09-18T18:56:42.698Z,"Asia Pacific","Beauty & Health",239.31,3,79.77,46,COMPLETED
TX-1789757804698-555,2026-09-18T18:56:44.698Z,"Latin America","Electronics & Gadgets",485.56,4,121.39,35,COMPLETED
TX-1789757806698-588,2026-09-18T18:56:46.698Z,"Asia Pacific","Beauty & Health",130.02,1,130.02,23,COMPLETED
TX-1789757808698-536,2026-09-18T18:56:48.698Z,"Latin America","Electronics & Gadgets",216.39,3,72.13,51,COMPLETED
TX-1789757810698-576,2026-09-18T18:56:50.698Z,"EMEA","Electronics & Gadgets",415.47,3,138.49,58,COMPLETED
TX-1789757812698-475,2026-09-18T18:56:52.698Z,"North America","Electronics & Gadgets",54.47,1,54.47,55,COMPLETED
TX-1789757814698-203,2026-09-18T18:56:54.698Z,"Asia Pacific","Electronics & Gadgets",512.32,2,256.16,65,COMPLETED
TX-1789757816698-729,2026-09-18T18:56:56.698Z,"EMEA","Electronics & Gadgets",168.64,2,84.32,51,COMPLETED
TX-1789757818698-620,2026-09-18T18:56:58.698Z,"EMEA","Electronics & Gadgets",496.90,2,248.45,38,COMPLETED
TX-1789757820698-105,2026-09-18T18:57:00.698Z,"Latin America","Home Goods",692.16,3,230.72,69,COMPLETED
TX-1789757822698-807,2026-09-18T18:57:02.698Z,"Asia Pacific","Home Goods",477.88,2,238.94,38,COMPLETED
TX-1789757824698-511,2026-09-18T18:57:04.698Z,"Latin America","Apparel & Footwear",260.76,3,86.92,35,COMPLETED
TX-1789757826698-708,2026-09-18T18:57:06.698Z,"North America","Home Goods",139.84,1,139.84,34,COMPLETED
TX-1789757828698-830,2026-09-18T18:57:08.698Z,"North America","Apparel & Footwear",64.26,3,21.42,67,COMPLETED
TX-1789757830698-637,2026-09-18T18:57:10.698Z,"EMEA","Electronics & Gadgets",875.76,4,218.94,44,COMPLETED
TX-1789757832698-903,2026-09-18T18:57:12.698Z,"Asia Pacific","Apparel & Footwear",248.48,1,248.48,61,COMPLETED
TX-1789757834698-781,2026-09-18T18:57:14.698Z,"North America","Home Goods",836.96,4,209.24,33,COMPLETED
TX-1789757836698-934,2026-09-18T18:57:16.698Z,"EMEA","Apparel & Footwear",434.43,3,144.81,67,COMPLETED
TX-1789757838698-728,2026-09-18T18:57:18.698Z,"EMEA","Electronics & Gadgets",68.28,2,34.14,39,COMPLETED
TX-1789757840698-762,2026-09-18T18:57:20.698Z,"Asia Pacific","Beauty & Health",738.76,4,184.69,64,COMPLETED
TX-1789757842698-244,2026-09-18T18:57:22.698Z,"EMEA","Apparel & Footwear",401.00,2,200.50,35,COMPLETED
TX-1789757844698-804,2026-09-18T18:57:24.698Z,"North America","Beauty & Health",35.76,1,35.76,34,COMPLETED
TX-1789757846698-817,2026-09-18T18:57:26.698Z,"EMEA","Apparel & Footwear",261.00,4,65.25,21,COMPLETED
TX-1789757848698-526,2026-09-18T18:57:28.698Z,"North America","Home Goods",260.32,1,260.32,38,COMPLETED
TX-1789757850698-176,2026-09-18T18:57:30.698Z,"Latin America","Home Goods",416.32,2,208.16,54,COMPLETED
TX-1789757852698-677,2026-09-18T18:57:32.698Z,"Asia Pacific","Beauty & Health",410.24,2,205.12,43,COMPLETED
TX-1789757854698-408,2026-09-18T18:57:34.698Z,"Latin America","Beauty & Health",198.40,4,49.60,20,COMPLETED
TX-1789757856698-184,2026-09-18T18:57:36.698Z,"Latin America","Home Goods",377.46,2,188.73,42,COMPLETED
TX-1789757858698-839,2026-09-18T18:57:38.698Z,"Latin America","Electronics & Gadgets",474.54,3,158.18,29,COMPLETED
TX-1789757860698-937,2026-09-18T18:57:40.698Z,"Asia Pacific","Apparel & Footwear",662.92,4,165.73,30,COMPLETED
TX-1789757862698-690,2026-09-18T18:57:42.698Z,"EMEA","Electronics & Gadgets",699.68,4,174.92,60,COMPLETED
TX-1789757864698-651,2026-09-18T18:57:44.698Z,"Asia Pacific","Home Goods",624.04,4,156.01,47,COMPLETED
TX-1789757866698-710,2026-09-18T18:57:46.698Z,"EMEA","Apparel & Footwear",258.76,2,129.38,58,FLAGGED
TX-1789757868698-392,2026-09-18T18:57:48.698Z,"EMEA","Beauty & Health",263.92,4,65.98,22,COMPLETED
TX-1789757870698-917,2026-09-18T18:57:50.698Z,"EMEA","Electronics & Gadgets",257.24,2,128.62,67,COMPLETED
TX-1789757872698-240,2026-09-18T18:57:52.698Z,"Latin America","Apparel & Footwear",508.68,2,254.34,34,COMPLETED
TX-1789757874698-115,2026-09-18T18:57:54.698Z,"North America","Beauty & Health",622.52,4,155.63,27,COMPLETED
TX-1789757876698-971,2026-09-18T18:57:56.698Z,"North America","Electronics & Gadgets",159.09,3,53.03,58,COMPLETED
TX-1789757878698-166,2026-09-18T18:57:58.698Z,"EMEA","Home Goods",454.12,2,227.06,52,COMPLETED
TX-1789757880698-489,2026-09-18T18:58:00.698Z,"North America","Apparel & Footwear",287.48,2,143.74,43,COMPLETED
TX-1789757882698-648,2026-09-18T18:58:02.698Z,"North America","Apparel & Footwear",39.33,1,39.33,34,COMPLETED
TX-1789757884698-575,2026-09-18T18:58:04.698Z,"Asia Pacific","Apparel & Footwear",186.82,2,93.41,54,COMPLETED
TX-1789757886698-645,2026-09-18T18:58:06.698Z,"North America","Apparel & Footwear",90.87,1,90.87,38,COMPLETED
TX-1789757888698-351,2026-09-18T18:58:08.698Z,"Asia Pacific","Electronics & Gadgets",925.48,4,231.37,67,COMPLETED
TX-1789757890698-957,2026-09-18T18:58:10.698Z,"EMEA","Electronics & Gadgets",325.24,2,162.62,65,COMPLETED
TX-1789757892698-100,2026-09-18T18:58:12.698Z,"EMEA","Beauty & Health",631.26,3,210.42,35,COMPLETED
TX-1789757894698-379,2026-09-18T18:58:14.698Z,"North America","Home Goods",169.90,1,169.90,46,COMPLETED
TX-1789757896698-620,2026-09-18T18:58:16.698Z,"EMEA","Electronics & Gadgets",732.96,3,244.32,31,COMPLETED
TX-1789757898698-682,2026-09-18T18:58:18.698Z,"EMEA","Beauty & Health",241.68,2,120.84,58,COMPLETED
TX-1789757900698-983,2026-09-18T18:58:20.698Z,"EMEA","Home Goods",244.80,4,61.20,41,COMPLETED
TX-1789757902698-704,2026-09-18T18:58:22.698Z,"North America","Electronics & Gadgets",794.85,3,264.95,37,COMPLETED
TX-1789757904698-881,2026-09-18T18:58:24.698Z,"Asia Pacific","Home Goods",529.48,2,264.74,60,COMPLETED
TX-1789757906698-416,2026-09-18T18:58:26.698Z,"North America","Apparel & Footwear",169.15,1,169.15,31,COMPLETED
TX-1789757908698-511,2026-09-18T18:58:28.698Z,"North America","Electronics & Gadgets",500.60,2,250.30,29,COMPLETED
TX-1789757910698-336,2026-09-18T18:58:30.698Z,"Latin America","Electronics & Gadgets",164.26,2,82.13,62,COMPLETED
TX-1789757912698-927,2026-09-18T18:58:32.698Z,"EMEA","Beauty & Health",925.56,4,231.39,32,COMPLETED
TX-1789757914698-858,2026-09-18T18:58:34.698Z,"North America","Home Goods",343.68,3,114.56,44,COMPLETED
TX-1789757916698-841,2026-09-18T18:58:36.698Z,"EMEA","Home Goods",125.42,1,125.42,65,COMPLETED
TX-1789757918698-864,2026-09-18T18:58:38.698Z,"Asia Pacific","Beauty & Health",868.80,4,217.20,59,COMPLETED
TX-1789757920698-212,2026-09-18T18:58:40.698Z,"North America","Beauty & Health",638.76,4,159.69,37,COMPLETED
TX-1789757922698-710,2026-09-18T18:58:42.698Z,"Latin America","Electronics & Gadgets",223.51,1,223.51,20,COMPLETED
TX-1789757924698-453,2026-09-18T18:58:44.698Z,"EMEA","Home Goods",160.76,1,160.76,59,COMPLETED
TX-1789757926698-657,2026-09-18T18:58:46.698Z,"Asia Pacific","Home Goods",389.80,2,194.90,61,COMPLETED
TX-1789757928698-119,2026-09-18T18:58:48.698Z,"Asia Pacific","Beauty & Health",299.62,2,149.81,35,COMPLETED
TX-1789757930698-354,2026-09-18T18:58:50.698Z,"EMEA","Beauty & Health",189.60,3,63.20,58,COMPLETED
TX-1789757932698-647,2026-09-18T18:58:52.698Z,"EMEA","Home Goods",492.87,3,164.29,35,COMPLETED
TX-1789757934698-901,2026-09-18T18:58:54.698Z,"North America","Electronics & Gadgets",31.18,1,31.18,38,COMPLETED
TX-1789757936698-130,2026-09-18T18:58:56.698Z,"North America","Beauty & Health",239.79,3,79.93,58,COMPLETED
TX-1789757938698-376,2026-09-18T18:58:58.698Z,"Latin America","Apparel & Footwear",330.18,3,110.06,41,COMPLETED
TX-1789757940698-338,2026-09-18T18:59:00.698Z,"Asia Pacific","Electronics & Gadgets",370.56,3,123.52,43,COMPLETED
TX-1789757942698-244,2026-09-18T18:59:02.698Z,"EMEA","Electronics & Gadgets",141.27,3,47.09,56,COMPLETED
TX-1789757944698-368,2026-09-18T18:59:04.698Z,"Asia Pacific","Electronics & Gadgets",260.04,3,86.68,25,COMPLETED
TX-1789757946698-162,2026-09-18T18:59:06.698Z,"Latin America","Beauty & Health",226.68,1,226.68,69,COMPLETED
TX-1789757948698-519,2026-09-18T18:59:08.698Z,"Asia Pacific","Beauty & Health",44.60,2,22.30,67,COMPLETED
TX-1789757950698-332,2026-09-18T18:59:10.698Z,"EMEA","Electronics & Gadgets",197.72,4,49.43,26,COMPLETED
TX-1789757952698-714,2026-09-18T18:59:12.698Z,"Asia Pacific","Home Goods",199.00,4,49.75,52,COMPLETED
